Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,GB3AA,145.6625,-,0.6,Tone,94.8,94.8,023,NN,FM,12.50,,Bristol,,,,
1,GB3AB,433.375,+,1.6,Tone,82.5,82.5,023,NN,FM,25.00,,Sheffield,,,,
2,GB3AC,430.975,+,7.6,Tone,94.8,94.8,023,NN,FM,25.00,,Bristol,,,,
3,GB3AG,145.725,-,0.6,Tone,94.8,94.8,023,NN,FM,12.50,,Forfar,,,,
4,GB3AH,433.275,+,1.6,Tone,94.8,94.8,023,NN,FM,25.00,,East Dereham,,,,
5,GB3AL,145.7375,-,0.6,Tone,77,77,023,NN,FM,12.50,,Amersham,,,,
6,GB3AM,50.84,+,0.5,Tone,77,77,023,NN,FM,Amersham,,,,
7,GB3AN,433.2,+,1.6,Tone,110.9,110.9,023,NN,FM,25.00,,Amlwch,,,,
8,GB3AR,145.7,-,0.6,Tone,110.9,110.9,023,NN,FM,12.50,,Caernarfon,,,,
9,GB3AS,145.6,-,0.6,Tone,77,77,023,NN,FM,12.50,,Langholm,,,,
10,GB3AU,433.175,+,1.6,Tone,82.5,82.5,023,NN,FM,25.00,,Amersham,,,,
11,GB3AV,433.05,+,1.6,Tone,118.8,118.8,023,NN,FM,25.00,,Aylesbury,,,,
12,GB3AW,433.25,+,1.6,Tone,71.9,71.9,023,NN,FM,25.00,,Newbury,,,,
13,GB3AY,145.65,-,0.6,Tone,103.5,103.5,023,NN,FM,12.50,,Dalry,,,,
14,GB3BA,433.325,+,1.6,Tone,71.9,71.9,023,NN,FM,25.00,,Basingstoke,,,,
15,GB3BB,145.7,-,0.6,Tone,94.8,94.8,023,NN,FM,12.50,,Brecon,,,,
16,GB3BC,145.75,-,0.6,Tone,94.8,94.8,023,NN,FM,12.50,,Pontypridd,,,,
17,GB3BD,430.8125,+,7.6,Tone,67,67,023,NN,FM,25.00,,Banbury,,,,
18,GB3BE,430.8625,+,7.6,Tone,118.8,118.8,023,NN,FM,25.00,,Duns,,,,
19,GB3BF,145.7875,-,0.6,Tone,77,77,023,NN,FM,12.50,,Bedford,,,,
20,GB3BH,430.9875,+,7.6,Tone,77,77,023,NN,FM,25.00,,Bexhill-on-sea,,,,
21,GB3BI,145.725,-,0.6,Tone,67,67,023,NN,FM,12.50,,Muir Of Ord,,,,
22,GB3BK,430.9,+,7.6,Tone,103.5,103.5,023,NN,FM,25.00,,Bromley,,,,
23,GB3BL,430.875,+,7.6,Tone,77,77,023,NN,FM,25.00,,Bedford,,,,
